question	pāli	answer	source	feedback
What 5 things increases vitality?		1. Doing what is beneficial? 2. Observing moderation in what is beneficial? 3. Having good digestion 4. Being virtuous 5. Having good friends	AN 5.126	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Possessing what 5 qualities does a bhikkhu yearn for the destruction of the effluents?		1. ‘I am endowed with faith; I place faith in the enlightenment of the Tathāgata... 2. I am seldom ill or afflicted, possessing an even digestion that is neither too cool nor too hot but moderate and suitable for striving, so why shouldn’t I yearn for the destruction of the taints? 3. I am honest and open; I reveal myself as I really am to the Teacher and my wise fellow monks, so why shouldn’t I yearn for the destruction of the taints? 4. I have aroused energy for the abandoning of unwholesome qualities … not casting off the duty of cultivating wholesome qualities, so why shouldn’t I yearn for the destruction of the taints? 5. I am wise; I possess the wisdom … [that] leads to the complete destruction of suffering, so why shouldn’t I yearn for the destruction of the taints?’	AN 5.135	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 5 five people sleep little at night but mostly keep awake?		1. A woman intent on a man 2. A man intent on a woman 3. A thief intent on theft 4. A king engaged with his royal duties 5. A bhikkhu intent on severing the bonds	AN 5.137	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
How is a person one who gives and then despises?		A person gives another a robe, almsfood, lodging, and medicines and provisions for the sick. It occurs to him: ‘I give; he receives.’ Having given to him, he despises him.	AN 5.141	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
How does one despise as a result of living together?		A person lives together with another for two or three years. He then despises the other because they have lived together.	AN 5.141	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
How is a person gullible for gossip?		When praise or dispraise is being spoken about another person, he readily believes it.	AN 5.141	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
How is a person capricious?		A person’s faith, devotion, affection, and confidence are fickle.	AN 5.141	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
How is a persond dull and stupid?		A person does not know which qualities are wholesome and which unwholesome, which qualities are blameworthy and which blameless, which qualities are inferior and which superior; he does not know dark and bright qualities along with their counterparts.	AN 5.141	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Possesing what 5 qualities should a bhikkhu should not take another as a friend?		1. He instigates work projects 2. He takes up disciplinary issues 3. He is hostile toward eminent bhikkus 4. He is intent on lengthy and unsettled wandering 5. He is unable to instruct, encourage, inspire, and gladden one from time to time with Dhamma talk.	AN 5.146	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Possesing what 5 qualities can one enter upon the fixed course of righness while listening to the Dhamma?		1, One does not disparage the talk 2. One does not disparage the speaker 3. One does not disparage oneself 4. One listens to the Dhamma with an undistracted and one-poninted mind	AN 5.151	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 6 things lead to the decline and disappearance of the true Dhamma?		1. The bhikkhus do not respectfully listen to the Dhamma 2. The bhikkhus do not respectfully learn the Dhamma 3. The bhikkhus do not respectfully retain the Dhamma in mind 4. The bhikkhus do not respectfully teach the Dhamma to others 5. The bhikkhus do not respectfully examine the meaning of the teachings they have retained in mind 6. The bhikkhus do not respectfully understand the meaning and the Dhamm and then practice in accordance with the Dhamma	AN 5.154/155	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 5 ways to remove resentment?		1. Develop friendliness 2. Develop compassion 3. Develop equanmity 4. Disregard the person and pay them no attention 5. Apply the idea of the ownership of kamma ot the person	AN 5.161	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are 5 way to induce non-remorse in one who was reproved iin a way contrary to the Dhamma?		1. Reproved at an improper time, not a proper time 2. Reproved falsely, not truthfully 3. Reproved harshly, not gently 4.Reproved in a harmful way, not in a beneficial way 5. Reproved by one harboring hatred	AN 5.167	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 5 trades should a lay followered not engage in?		1. Trading in weapons 2. Trading in living being 3. Trading in meat 4. Trading in intoxicants 5. Trading in poisons	AN 5.177	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 5 qualities make a resident bhikkhu very helpfu to a monastery?		1. Being virtuous, dwelling restrained by the Pātimokkha 2. Having learned much and penetrated the meaning wll by view 3. Repairs what is broken and split 4. When a large Saṅgha of bhikkhus has arrived including bhikkhus from various states, he approaches laypeople and informs them: ‘Friends, a large Saṅgha of bhikkhus has arrived including bhikkhus from various states. Make merit. It is an occasion to make merit.’ 5. Gains at will, without trouble or difficulty, the four jhānas that constitute the higher mind and are pleasant dwellings in this very life	AN 5.234	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Possessing what 6 qualities is a bhikkhu incapable of realizing the unsurpassed coolness?		1. He does not surpress the mind on an occasion when it should be 2. He does not exert the mind on an occasion when it should be 3. He does not encourage the mind on an occasion when it should be 4. He does not look at the mind with equanimity 5. He is of inferior disposition 6. He takes delight in personal existence	AN 6.85	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 6 benefits in realizing the fruit of stream-entry?		1. Fixed in the true Dhamma 2. Incapable of decline 3. Suffering in delimited 4. Comes to possess knowledge not shared by others 5. Clearly see causation 6.Clearly see causally arisen phenomena	AN 6.98	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Considering what 6 benefits is it enough for a bhikkhu to establish unlimited perception of impermanence in all conditioned phenomena?		1. ‘All conditioned phenomena will appear to me as unlasting.’ 2) My mind will not delight in anything in the world. 3) My mind will rise up from the entire world. 4) My mind will slope toward nibbāna. 5) My fetters will be abandoned. And 6, I will come to possess supreme asceticism.’	AN 6.102	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What is mindfulness of breathing developed for?		Abandoning mental distraction.	AN 6.115	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
A friend should be associated when they possess what 7 factors?		1. Gives what is hard to give 2. Does what is hard to do 3. Patiently endures what is heard to endure 4. Reveals his secrets to you 5. Preserves you secret 6. Does not forsake you when you are in trouble 7. Does not roughly despire you	AN 7.36	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
The world revolves around what 8 wordly conditions?		1. Gain and loss 2. Disrepute and fame 3. Blame and praise 4. Pleasure and pain	AN 8.5	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 4 things should be reviewed from time to time?		1. Your own failings 2. The failings of others 3. Your own achievements 4. The achievements of others	AN 8.7	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 8 stains?		1. Non-recitation is the stain of the hyms 2. the stain of houses is the lack of upkeep 3. The stain of beauty is laziness 4. Heedlessness is the stain of a guard 5. A woman’s stain is misconduct 6. Miserliness is a donor’s stain 7. Bad unwholesome qualities are stains in this world and the next 8. A stain graver than this is ignorance, the very worst of stains	AN 8.15	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the 8 gifts?		1. Having insulted [the recipient], one gives a gift 2. One gives a gift from fear 3. One gives a gift, [thinking]: ‘He gave to me.’ 4. One gives a gift, [thinking]: ‘He will give to me.’ 5. One gives a gift, [thinking]: ‘Giving is good.’ 6. One gives a gift, [thinking]: ‘I cook; these people do not cook. It isn’t right that I who cook should not give to those who do not cook.’ 7. One gives a gift, [thinking]: ‘Because I have given this gift, I will gain a good reputation.’ 8. One gives a gift for the purpose of ornamenting the mind, equipping the mind. --- 3. One gives a gift from delusion. 4. One gives a gift from fear. 5. One gives a gift, [thinking]: ‘Giving was practiced before by my father and forefathers; I should not abandon this ancient family custom.’	AN 8.31/33	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 9 things are rooted in craving?		1. In dependence on craving there is seeking. 2. In dependence on seeking there is gain. 3. In dependence on gain there is judgment. 4. In dependence on judgment there is desire and lust. 5. In dependence on desire and lust there is attachment. 6. In dependence on attachment there is possessiveness. 7. In dependence on possessiveness there is miserliness. 8, In dependence on miserliness there is safeguarding. 9. With safeguarding as the foundation originate the taking up of rods and weapons, quarrels, contentions, and disputes, accusations, divisive speech, and false speech, and many [other] bad unwholesome things. These are the nine things rooted in craving.	AN 9.23	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the nine abodes of beings?		1. “There are, bhikkhus, beings that are different in body and different in perception, such as humans, some devas, and some in the lower world. This is the first abode of beings. 2. “There are beings that are different in body but identical in perception, such as the devas of Brahmā’s company that are reborn through the first [jhāna]. This is the second abode of beings. 3. “There are beings that are identical in body but different in perception, such as the devas of streaming radiance. This is the third abode of beings. 4. “There are beings that are identical in body and identical in perception, such as the devas of refulgent glory. This is the fourth abode of beings. 5. “There are beings that are non-percipient, without experience, such as the devas that are non-percipient. This is the fifth abode of beings. 6.“There are beings that, with the complete surmounting of perceptions of forms, with the passing away of perceptions of sensory impingement, with non-attention to perceptions of diversity, [perceiving] ‘space is infinite,’ belong to the base of the infinity of space. This is the sixth abode of beings. 7. “There are beings that, by completely surmounting the base of the infinity of space, [perceiving] ‘consciousness is infinite,’ belong to the base of the infinity of consciousness. This is the seventh abode of beings. 8. “There are beings that, by completely surmounting the base of the infinity of consciousness, [perceiving] ‘there is nothing,’ belong to the base of nothingness. This is the eighth abode of beings. 9.“There are beings that, by completely surmounting the base of nothingness, belong to the base of neither-perception-nor-non-perception. This is the ninth abode of beings.	AN 9.24	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are the nine grounds for resentment?		1. [Thinking:] ‘He acted for my harm,’ one harbors resentment. 2. [Thinking:] ‘He is acting for my harm,’ one harbors resentment. 3. [Thinking:] ‘He will act for my harm,’ one harbors resentment. 4. [Thinking:] ‘He acted for the harm of one pleasing and agreeable to me,’ one harbors resentment. 5. [Thinking:] ‘He is acting for the harm of one pleasing and agreeable to me,’ one harbors resentment. 6. [Thinking:] ‘He will act for the harm of one pleasing and agreeable to me,’ one harbors resentment. 7. [Thinking:] ‘He acted for the benefit of one displeasing and disagreeable to me,’ one harbors resentment. 8. [Thinking:] ‘He is acting for the benefit of one displeasing and disagreeable to me,’ one harbors resentment. 9. [Thinking:] ‘He will act for the benefit of one displeasing and disagreeable to me,’ one harbors resentment.	AN 9.29	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
For direct knowledge of lust, what nine things need to be developed?		1. The perception of unattractiveness 2. The perception of death 3. The perception of the repulsiveness of food 4. The perception of non-delight in the entire world 5 The perception of impermanence 6. The perception of suffering in the impermanent 7. The perception of non-self in what is suffering 8. The perception of abandoning 9. The perception of dispassion		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 5 factors should a lodging possess?		1. “Here, the lodging is neither too far [from a place for alms] nor too close, and it possesses a means for going and returning. 2. “During the day it is not disturbed by people and at night it is quiet and still. 3. “There is little contact with flies, mosquitoes, wind, the burning sun, and serpents. 4. “One dwelling in that lodging can easily obtain robes, almsfood, lodging, and medicines and provisions for the sick. 5. “In that lodging elder bhikkhus are dwelling who are learned, heirs to the heritage, [16] experts on the Dhamma, experts on the discipline, experts on the outlines. He approaches them from time to time and inquires: ‘How is this, Bhante? What is the meaning of this?’ Those venerable ones then disclose to him what has not been disclosed, clear up what is obscure, and dispel his perplexity about numerous perplexing points.	AN 10.11	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 10 things subsist in through the body?		1. Cold 2. Heat 3. Hunger 4. Thirst 5. Defecation 6. Urination 7. Bodily Restraint 8. Verbal Restraint 9. Restraint in one’s livelihood 10. The formative activity of existence that leads to renewed existence	AN 10.49	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What 20 perceptions are of great fruit and benefit?		1. The perception of unattractiveness, 2. the perception of death, 3. the perception of the repulsiveness of food, 4. the perception of non-delight in the entire world, 5. the perception of impermanence, 6. the perception of suffering in the impermanent, 7. the perception of non-self in what is suffering, 8. the perception of abandoning, 9. the perception of dispassion, 10. and the perception of cessation. 1. The perception of impermanence, 2. the perception of non-self, 3. the perception of death, 4. the perception of the repulsiveness of food, 5. the perception of non-delight in the entire world, 6. the perception of a skeleton, 7. the perception of a worm-infested corpse, 8. the perception of a livid corpse, 9. the perception of a fissured corpse, 10. and the perception of a bloated corpse.		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Dwell thornless – what are the 10 thorns?		1. Delight in company is a thorn to one who delights in solitude. 2. Pursuit of an attractive object is a thorn to one intent on meditation on the mark of the unattractive. 3. An unsuitable show is a thorn to one guarding the doors of the sense faculties. 4. Keeping company with women is a thorn to the celibate life. 5. Noise is a thorn to the first jhāna. 6. Thought and examination are a thorn to the second jhāna. 7. Rapture is a thorn to the third jhāna. 8. In-and-out breathing is a thorn to the fourth jhāna. 9. Perception and feeling are a thorn to the attainment of the cessation of perception and feeling. 10. Lust is a thorn, hatred is a thorn, and delusion is a thorn.		"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
What are 10 things that are nutriments for qualities that are wished for, desired, agreeable, and rarely gained in the world?		1. Diligence and initiative are nutriments for [the acquisition of] wealth. 2. Adorning and beautifying oneself are nutriments for beauty. 3. Doing what is beneficial is a nutriment for health. 4. Good friendship is a nutriment for virtuous behavior. 5. Restraint of the sense faculties is a nutriment for celibacy. 6. Sincerity is a nutriment for friendships. 7. Recitation is a nutriment for learning. 8. Willingness to listen and asking questions are nutriments for wisdom. 9. Applying oneself and reflection are nutriments for good qualities. 10. Right practice is a nutriment for the heavens.	AN 10.73	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Considering what 6 benefits is it enough for a bhikkhu to establish unlimited perception of suffering in all conditioned phenomena?		(1) ‘The perception of disenchantment will be established in me toward all conditioned phenomena, as toward a murderer with uplifted dagger. (2) My mind will rise up from the entire world. (3) I will see nibbāna as peaceful. (4) My underlying tendencies will be uprooted. (5) I will be one who has done his task. And (6) I will have served the Teacher with loving-kindness.’	AN 6.103	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
Considering what 6 benefits is it enough for a bhikkhu to establish unlimited perception of non-self in all conditioned phenomena?		1. ‘I will be without identification in the entire world. 2. I-makings will cease for me. 3. Mine-makings will cease for me. 4. I will come to possess knowledge not shared [with worldlings]. 5. I will have clearly seen causation. 6.I will have clearly seen causally arisen phenomena.’	AN 6.104	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
what are the benefits in rice porridge?	pañc'ime, bhikkhave, ānisaṃsā yāguyā. katame pañca?	It stills hunger, dispels thirst, settles wind, cleans out the bladder, and promotes the digestion of the remnants of undigested food.	AN 5.207	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/1Z8Jjt0-E0HNX7ygABIzAcrChG23M3IOyoZGQ-EDRzXY/viewform"">Fix it here</a>."
